,Name,Points,Assists,Offensive Rebounds,Position,Season
38,Aaron Brooks,19.0,5.0,0.0,PG,2010.0
53,Aaron Gordon,12.0,1.0,1.0,SF,2017.0
82,Aaron McKie,10.0,4.0,0.0,SG,2001.0
84,Aaron McKie,8.0,3.0,0.0,SF,2003.0
85,Aaron McKie,8.0,2.0,0.0,SF,2004.0
99,Aaron Williams,10.0,1.0,2.0,PF,2001.0
140,Adam Morrison,11.0,1.0,0.0,PF,2007.0
275,Al Harrington,12.0,1.0,1.0,SF,2003.0
276,Al Harrington,12.0,1.0,1.0,PF,2004.0
277,Al Harrington,14.0,2.0,1.0,SF,2005.0
278,Al Harrington,17.0,2.0,1.0,PF,2006.0
279,Al Harrington,15.0,1.0,1.0,PF,2007.0
282,Al Harrington,13.0,1.0,1.0,C,2008.0
283,Al Harrington,17.0,1.0,1.0,PF,2009.0
285,Al Harrington,17.0,1.0,1.0,PF,2009.0
286,Al Harrington,15.0,1.0,1.0,PF,2010.0
293,Al Horford,10.0,1.0,3.0,C,2008.0
294,Al Horford,9.0,1.0,1.0,C,2009.0
295,Al Horford,14.0,2.0,2.0,C,2010.0
296,Al Horford,14.0,3.0,2.0,C,2011.0
298,Al Horford,15.0,2.0,2.0,C,2013.0
300,Al Horford,14.0,2.0,1.0,C,2015.0
301,Al Horford,15.0,3.0,1.0,C,2016.0
302,Al Horford,11.0,4.0,1.0,C,2017.0
306,Al Jefferson,13.0,1.0,2.0,C,2007.0
307,Al Jefferson,21.0,1.0,3.0,C,2008.0
309,Al Jefferson,15.0,1.0,2.0,C,2010.0
310,Al Jefferson,18.0,1.0,2.0,C,2011.0
311,Al Jefferson,14.0,1.0,1.0,C,2012.0
312,Al Jefferson,16.0,2.0,1.0,C,2013.0
313,Al Jefferson,19.0,1.0,1.0,C,2014.0
332,Al Thornton,12.0,1.0,1.0,PF,2008.0
333,Al Thornton,14.0,1.0,1.0,SF,2009.0
334,Al Thornton,9.0,1.0,1.0,SF,2010.0
379,Alan Henderson,13.0,0.0,3.0,PF,2000.0
411,Alec Burks,13.0,2.0,0.0,SG,2014.0
495,Al-Farouq Aminu,6.0,1.0,1.0,SF,2013.0
496,Al-Farouq Aminu,6.0,1.0,1.0,SF,2014.0
498,Al-Farouq Aminu,10.0,1.0,1.0,SF,2016.0
520,Allan Houston,19.0,2.0,0.0,SG,2000.0
521,Allan Houston,17.0,2.0,0.0,SG,2001.0
522,Allan Houston,19.0,2.0,0.0,SG,2002.0
523,Allan Houston,22.0,2.0,0.0,SG,2003.0
529,Allen Crabbe,10.0,1.0,0.0,SG,2016.0
530,Allen Crabbe,10.0,1.0,0.0,SG,2017.0
534,Allen Iverson*,24.0,4.0,0.0,SG,2000.0
535,Allen Iverson*,26.0,3.0,0.0,SG,2001.0
536,Allen Iverson*,22.0,4.0,0.0,SG,2002.0
537,Allen Iverson*,27.0,5.0,0.0,SG,2003.0
538,Allen Iverson*,15.0,3.0,0.0,SG,2004.0
539,Allen Iverson*,28.0,7.0,0.0,PG,2005.0
540,Allen Iverson*,28.0,6.0,0.0,PG,2006.0
541,Allen Iverson*,20.0,5.0,0.0,SG-PG,2007.0
543,Allen Iverson*,15.0,4.0,0.0,SG,2007.0
