,Name,Points,Assists,OffensiveRebounds,Position,Season
99,Aaron Williams,0.23809523809523808,0.14285714285714285,0.5,PF,2001.0
140,Adam Morrison,0.2857142857142857,0.14285714285714285,0.0,PF,2007.0
276,Al Harrington,0.3333333333333333,0.14285714285714285,0.25,PF,2004.0
278,Al Harrington,0.5714285714285714,0.2857142857142857,0.25,PF,2006.0
279,Al Harrington,0.47619047619047616,0.14285714285714285,0.25,PF,2007.0
283,Al Harrington,0.5714285714285714,0.14285714285714285,0.25,PF,2009.0
285,Al Harrington,0.5714285714285714,0.14285714285714285,0.25,PF,2009.0
286,Al Harrington,0.47619047619047616,0.14285714285714285,0.25,PF,2010.0
332,Al Thornton,0.3333333333333333,0.14285714285714285,0.25,PF,2008.0
379,Alan Henderson,0.38095238095238093,0.0,0.75,PF,2000.0
670,Amar'e Stoudemire,0.38095238095238093,0.0,0.75,PF,2003.0
671,Amar'e Stoudemire,0.38095238095238093,0.0,0.25,PF,2004.0
677,Amar'e Stoudemire,0.8571428571428571,0.14285714285714285,0.5,PF,2010.0
693,Amir Johnson,0.19047619047619047,0.14285714285714285,0.5,PF,2013.0
694,Amir Johnson,0.19047619047619047,0.14285714285714285,0.5,PF,2014.0
702,Anderson Varejao,0.14285714285714285,0.0,0.5,PF,2009.0
703,Anderson Varejao,0.09523809523809523,0.14285714285714285,0.5,PF,2010.0
719,Andray Blatche,0.38095238095238093,0.2857142857142857,0.25,PF,2010.0
720,Andray Blatche,0.38095238095238093,0.14285714285714285,0.5,PF,2011.0
813,Andrea Bargnani,0.42857142857142855,0.14285714285714285,0.0,PF,2009.0
814,Andrea Bargnani,0.5238095238095238,0.14285714285714285,0.25,PF,2010.0
824,Andrei Kirilenko,0.47619047619047616,0.2857142857142857,0.5,PF,2004.0
838,Andres Nocioni,0.3333333333333333,0.14285714285714285,0.25,PF,2006.0
847,Andrew Bogut,0.19047619047619047,0.2857142857142857,0.5,PF,2006.0
980,Antawn Jamison,0.5238095238095238,0.14285714285714285,0.25,PF,2005.0
982,Antawn Jamison,0.5238095238095238,0.14285714285714285,0.25,PF,2007.0
983,Antawn Jamison,0.7142857142857143,0.14285714285714285,0.5,PF,2008.0
984,Antawn Jamison,0.7619047619047619,0.14285714285714285,0.5,PF,2009.0
985,Antawn Jamison,0.47619047619047616,0.14285714285714285,0.25,PF,2010.0
989,Antawn Jamison,0.38095238095238093,0.14285714285714285,0.25,PF,2012.0
1044,Anthony Davis,0.5714285714285714,0.14285714285714285,0.5,PF,2014.0
1045,Anthony Davis,0.7142857142857143,0.14285714285714285,0.5,PF,2015.0
1106,Anthony Mason,0.47619047619047616,0.42857142857142855,0.5,PF,2001.0
1107,Anthony Mason,0.19047619047619047,0.5714285714285714,0.25,PF,2002.0
1213,Antoine Walker,0.7142857142857143,0.42857142857142855,0.5,PF,2000.0
1214,Antoine Walker,0.8571428571428571,0.7142857142857143,0.25,PF,2001.0
1215,Antoine Walker,0.7619047619047619,0.5714285714285714,0.25,PF,2002.0
